s_no,event_name,domain,website_url,start_date,end_date,venue,hall,city,country,instagram_url,event_page_url
3103,World of Glass 2027,mirstekla-expo.ru,https://www.mirstekla-expo.ru/,2027-02-24,2027-02-26,Timiryazev Center,,Moscow,Russia,,https://expomap.ru/en/expo/mir-stekla/
3104,BC Home + Garden Show 2027,marketplaceevents.com,https://www.marketplaceevents.com/our-shows,2027-02-25,2027-02-28,BC Place Stadium,,Vancouver,Canada,,https://expomap.ru/en/expo/bc-home-garden-show/
3105,Boot Tulln (Austrian Boat Show) 2027,boot-tulln.at,http://www.boot-tulln.at,2027-02-25,2027-02-28,Tulln Exhibition Center,,Tulln,Austria,,https://expomap.ru/en/expo/boot-tulln-austrian-boat-show/
3106,Calgary Home + Garden Show 2027,calgaryhgs.com,https://calgaryhgs.com/,2027-02-25,2027-02-28,"BMO Centre, Stampede Park",,Calgary,Canada,,https://expomap.ru/en/expo/calgary-home-garden-show/
3107,Corporate Gifts Show 2027,corporategiftsshow.in.messefrankfurt.com,https://corporategiftsshow.in.messefrankfurt.com/mumbai/en.html,2027-02-25,2027-02-27,Bombay Convention & Exhibition Centre (BEC),,Mumbai,India,,https://expomap.ru/en/expo/corporate-gifts-show/
3108,CP+ 2027,cpplus.jp,https://www.cpplus.jp/,2027-02-25,2027-02-28,Pacifico Yokohama,,Yokohama,Japan,,https://expomap.ru/en/expo/cp/
3109,Des Moines Home + Garden Show 2027,desmoineshomeandgardenshow.com,https://desmoineshomeandgardenshow.com/,2027-02-25,2027-02-28,Iowa Events Center,,Des Moines,United States,,https://expomap.ru/en/expo/des-moines-home-garden-show/
3110,Fahrrad Essen 2027,fahrrad-essen.de,https://www.fahrrad-essen.de/wichtigste-fahrradmesse-in-nrw/,2027-02-25,2027-02-28,Essen Exhibition Center,,Essen,Germany,,https://expomap.ru/en/expo/fahrrad-essen/
3111,GeoTHERM 2027,geotherm-offenburg.de,https://www.geotherm-offenburg.de/en,2027-02-25,2027-02-26,Offenburg Exhibition Center,,Offenburg,Germany,,https://expomap.ru/en/expo/geotherm/
3112,GETCA 2027,getca.com,http://www.getca.com/,2027-02-25,2027-02-26,,,Edmonton,Canada,,https://expomap.ru/en/expo/getca/
3113,HAUS 2027,baumesse-haus.de,https://www.baumesse-haus.de/,2027-02-25,2027-02-28,Dresden Exhibition Center,,Dresden,Germany,,https://expomap.ru/en/expo/haus/
3114,Nepal Buildcon 2027,nepalbuildcon.com.np,http://nepalbuildcon.com.np/,2027-02-25,2027-02-28,Bhrikuti Mandap,,Kathmandu,Nepal,,https://expomap.ru/en/expo/nepal-buildcon/
3115,New York Farm Show 2027,newyorkfarmshow.com,https://www.newyorkfarmshow.com/en/home.html,2027-02-25,2027-02-27,New York State Fairgrounds,,Syracuse,United States,,https://expomap.ru/en/expo/new-york-farm-show/
3116,OLC 2027,oregonloggingconference.com,http://www.oregonloggingconference.com,2027-02-25,2027-02-27,Lane Events Center and Fairgrounds,,Eugene,United States,,https://expomap.ru/en/expo/olc/
3117,Tier & Technik 2027,tierundtechnik.ch,http://www.tierundtechnik.ch,2027-02-25,2027-02-28,Olma Fairs St. Gallen,,St. Gallen,Switzerland,,https://expomap.ru/en/expo/tier-technik/2027/feb/
3118,Artoza 2027,artoza.com,http://www.artoza.com/en,2027-02-26,2027-03-02,Athens Metropolitan Expo,,Athens,Greece,,https://expomap.ru/en/expo/artoza/
3119,Building and Living Lucerne 2027,bautrends.ch,https://bautrends.ch/messe-luzern/de/fuer-besucher-uebersicht-sonderschauen,2027-02-26,2027-02-28,Lucerne Exhibition Center,,Lucerne,Switzerland,,https://expomap.ru/en/expo/bauen-wohnen-luzern/
3120,Charlotte Rv Expo 2027,tradeshowz.com,https://tradeshowz.com/events/12015/charlotte-rv-show,2027-02-26,2027-02-28,Cabarrus Arena & Events Center,,Concord,United States,,https://expomap.ru/en/expo/charlotte-rv-expo/
3121,Classic Madrid 2027,salonclassicmadrid.com,http://salonclassicmadrid.com,2027-02-26,2027-02-28,Casa de Campo,,Madrid,Spain,,https://expomap.ru/en/expo/classic-madrid/
3122,com:bau 2027,combau.messedornbirn.at,https://combau.messedornbirn.at/index.php?id=93,2027-02-26,2027-02-28,Dornbirn Exhibition Center,,Dornbirn,Austria,,https://expomap.ru/en/expo/combau/
3123,Gebaude Energie Technik 2027,getec-freiburg.de,https://www.getec-freiburg.de/,2027-02-26,2027-02-28,Freiburg Exhibition Center,,Freiburg im Breisgau,Germany,,https://expomap.ru/en/expo/gebaude-energie-technik/
3124,"Madison Build, Remodel & Landscape Show 2027",homeshowcenter.com,https://www.homeshowcenter.com/overview/madison2,2027-02-26,2027-02-28,Monona Terrace Convention Center,,Madison,United States,,https://expomap.ru/en/expo/madison-build-remodel-landscape-show/
3125,Southern Home and Garden Show 2027,southernhomeandgardenshow.com,https://southernhomeandgardenshow.com/,2027-02-26,2027-02-28,,,Greenville,United States,,https://expomap.ru/en/expo/southern-home-and-garden-show/
3126,tourismA 2027,tourisma.it,http://www.tourisma.it/home-2/,2027-02-26,2027-02-27,Palazzo dei Congressi,,Florence,Italy,,https://expomap.ru/en/expo/tourisma/
3127,Travel & Tourism Fair (TTF) Chennai 2027,ttfotm.com,https://www.ttfotm.com,2027-02-26,2027-02-28,Chennai Trade Centre,,Chennai,India,,https://expomap.ru/en/expo/travel-tourism-fair-ttf-chennai/
3128,Unique Gems and Jewellery International Show (UGJIS) 2027,ugjis.com,https://www.ugjis.com/,2027-02-26,2027-02-28,The Auto Cluster Exhibition Centre,,Pune,India,,https://expomap.ru/en/expo/unique-gems-and-jewellery-international-show-ugjis/
3129,Wise Overseas Property Immigration Study Abroad Exhibition February 2027,opifair.com.cn,http://www.opifair.com.cn/,2027-02-26,2027-02-28,Shanghai World Expo Exhibition & Convention Center (SWEECC),,Shanghai,China,,https://expomap.ru/en/expo/wise-overseas-property-immigration-study-abroad-exhibition-february/
3130,100% Optical 2027,100percentoptical.com,https://www.100percentoptical.com/,2027-02-27,2027-03-01,ExCeL,,London,United Kingdom,,https://expomap.ru/en/expo/100-optical/
3131,Euregio Wirtschaftsschau / International Consumer Goods Exhibition Aahen 2027,euregio-wirtschaftsschau.de,https://euregio-wirtschaftsschau.de/,2027-02-27,2027-03-07,Albert-Servais-Allee 50,,Aachen,Germany,,https://expomap.ru/en/expo/euregio-wirtschaftsschau-international-consumer-goods-exhibition-aahen/
3132,Healthy Living 2027,gesundleben-messe.de,https://gesundleben-messe.de/,2027-02-27,2027-02-28,Jahrhunderthalle,,Frankfurt/Main,Germany,,https://expomap.ru/en/expo/gesund-leben/
3133,Weddings and Celebrations Erfurt 2027,hochzeit-feste.de,http://www.hochzeit-feste.de/,2027-02-27,2027-02-28,Erfurt Exhibition Center,,Erfurt,Germany,,https://expomap.ru/en/expo/hochzeit-feste-erfurt/
3134,OKO 2027,oeko-trier.de,http://www.oeko-trier.de/,2027-02-27,2027-02-28,Handwerkskammer Trier,,Trier,Germany,,https://expomap.ru/en/expo/oko/
3135,Real Estate Fair (IMMO) 2027,immo-messe.freiburg.de,https://www.immo-messe.freiburg.de/,2027-02-27,2027-02-28,Freiburg Exhibition Center,,Freiburg im Breisgau,Germany,,https://expomap.ru/en/expo/real-estate-fair-immo/
3136,International Agricultural Show 2027,salon-agriculture.com,https://www.salon-agriculture.com/,2027-02-27,2027-03-07,"Paris Exhibition Centre, Versailles Gate",,Paris,France,,https://expomap.ru/en/expo/salon-international-de-lagriculture/2027/feb/
3137,SF Bay Area Travel Show 2027,travelshows.com,https://travelshows.com/shows/san-francisco-bay-area/,2027-02-27,2027-02-28,Santa Clara Convention Center,,Santa Clara,United States,,https://expomap.ru/en/expo/sf-bay-area-travel-show/
3138,The Big One Farnborough 2027,thebigoneshow.co.uk,https://www.thebigoneshow.co.uk/,2027-02-27,2027-02-28,Farnborough International Exhibition and Conference Centre,,Farnborough,United Kingdom,,https://expomap.ru/en/expo/the-big-one-farnborough/
3139,The Outdoor Adventure & Travel Show Vancouver 2027,outdooradventureshow.ca,https://outdooradventureshow.ca/vancouver-exhibitor,2027-02-27,2027-02-28,Vancouver Convention Centre,,Vancouver,Canada,,https://expomap.ru/en/expo/the-outdoor-adventure-travel-show-vancouver/
3140,Thuringia Exhibition Erfurt 2027,thueringen-ausstellung.de,https://www.thueringen-ausstellung.de/home/,2027-02-27,2027-03-07,Erfurt Exhibition Center,,Erfurt,Germany,,https://expomap.ru/en/expo/thringen-ausstellung-erfurt/
3141,Travel & Adventure Show Bay Area 2027,travelshows.com,https://travelshows.com/shows/san-francisco-bay-area/,2027-02-27,2027-02-28,,,Santa Clara,United States,,https://expomap.ru/en/expo/travel-adventure-show-bay-area/
3142,Vancouver Bike Show 2027,bcbikeshow.com,https://bcbikeshow.com/,2027-02-27,2027-02-28,Vancouver Convention Centre,,Vancouver,Canada,,https://expomap.ru/en/expo/vancouver-bike-show/
3143,Sol expo 2027,solverona.com,http://solverona.com,2027-02-28,2027-03-02,Verona Exhibition Centre,,Verona,Italy,,https://expomap.ru/en/expo/sol-expo/
3144,CIRE Tianjin 2027,expolead.ru,https://expolead.ru/info-partner,2027-03-01,2027-03-01,Tianjin Marriott Hotel National Convention And Exhibition Center,,Tianjin,China,,https://expomap.ru/en/expo/cire-tianjin/
3145,CMES CHN MACH EXPO Shanghai 2027,expocme.cn,https://www.expocme.cn/tz,2027-03-01,2027-03-04,National Exhibition and Convention Center (Shanghai) NECC,,Shanghai,China,,https://expomap.ru/en/expo/cmes-chn-mach-expo-shanghai/
3146,DistribuTECH 2027,distributech.com,https://www.distributech.com/,2027-03-01,2027-03-04,,,San Diego,United States,,https://expomap.ru/en/expo/distributech/
3147,East China Fair 2027,ecf.org.cn,https://www.ecf.org.cn/,2027-03-01,2027-03-04,Shanghai New International Expo Centre (SNIEC),,Shanghai,China,,https://expomap.ru/en/expo/east-china-fair/
3148,Enforce Tac 2027,enforcetac.com,https://www.enforcetac.com/,2027-03-01,2027-03-03,Nuremberg Trade Fair,,Nuremberg,Germany,,https://expomap.ru/en/expo/enforce-tac/
3149,HIP 2027,expohip.com,https://www.expohip.com/en/,2027-03-01,2027-03-03,,,Madrid,Spain,,https://expomap.ru/en/expo/hip/
3150,London Fashion Week (LFW) Spring 2027,londonfashionweek.co.uk,https://londonfashionweek.co.uk/,2027-03-01,2027-03-09,BFC Show Space,,London,United Kingdom,,https://expomap.ru/en/expo/london-fashion-week-lfw/
3151,Prodexpo 2027,prod-expo.ru,https://www.prod-expo.ru/,2027-03-01,2027-03-04,Crocus Expo International Exhibition Centre,,Moscow,Russia,,https://expomap.ru/en/expo/prodexpo/
3152,School And Nursery Equipment Exhibition 2027,mtp.pl,http://mtp.pl/en/calendar,2027-03-01,2027-03-01,Poznan Congress Center,,Poznan,Poland,,https://expomap.ru/en/expo/school-and-nursery-equipment-exhibition/
3153,Africa Energy Indaba 2027,africaenergyindaba.com,https://www.africaenergyindaba.com/,2027-03-02,2027-03-04,Cape Town International Convention Centre,,Cape Town,South Africa,,https://expomap.ru/en/expo/africa-energy-indaba/
3154,AGROPRO EXPO 2026,sofexpo.uz,https://sofexpo.uz/agropro-expo/?utm_source=expomap,2027-03-02,2027-03-04,SOF EXPO Samarkand,,Samarkand,Uzbekistan,,https://expomap.ru/en/expo/agropro-expo/
3155,All About Automation Friedrichshafen 2027,automation-friedrichshafen.com,https://www.automation-friedrichshafen.com/,2027-03-02,2027-03-03,Friedrichshafen Exhibition Center,,Friedrichshafen,Germany,,https://expomap.ru/en/expo/all-about-automation-friedrichshafen/
3156,AOG Energy 2027,aogexpo.com.au,https://aogexpo.com.au/,2027-03-02,2027-03-04,Perth Convention & Exhibition Centre,,Perth,Australia,,https://expomap.ru/en/expo/aog-energy/
3157,Bhp 2027,en.bhp.fairexpo.pl,http://en.bhp.fairexpo.pl,2027-03-02,2027-03-04,Katowice International Fair,,Katowice,Poland,,https://expomap.ru/en/expo/bhp/
3158,Chengdu International Industry Fair (CDIIF) 2027,cdiif.com,https://cdiif.com/en/,2027-03-02,2027-03-04,Western China International Expo City,,Chengdu,China,,https://expomap.ru/en/expo/chengdu-international-industry-fair-cdiif/
3159,Composites Show and Conferences (JEC World) 2027,jec-world.events,https://www.jec-world.events/,2027-03-02,2027-03-04,Paris Nord Villepinte,,Paris,France,,https://expomap.ru/en/expo/composites-show-and-conferences-jec-world/
3160,Drone World Expo 2027,dronetechpolandexpo.com,http://dronetechpolandexpo.com/en,2027-03-02,2027-03-04,Ptak Warsaw Expo,,Warsaw,Poland,,https://expomap.ru/en/expo/drone-world-expo/
3161,eltefa 2027,messe-stuttgart.de,https://www.messe-stuttgart.de/eltefa/,2027-03-02,2027-03-04,Stuttgart Exhibition Center,,Stuttgart,Germany,,https://expomap.ru/en/expo/eltefa/2027/mar/
3162,eMerge America 2027,emergeamericas.com,https://emergeamericas.com/,2027-03-02,2027-03-04,Miami Beach Convention Center,,Miami,United States,,https://expomap.ru/en/expo/emerge-america/
3163,Expowest Cornwall 2027,neventum.com,https://www.neventum.com/tradeshows/expowest-cornwall-0,2027-03-02,2027-03-03,Royal Cornwall Showground,,Wadebridge,United Kingdom,,https://expomap.ru/en/expo/expowest-cornwall/
3164,Gun & Shooting Expo 2027,gunshootingexpo.com,http://gunshootingexpo.com/en,2027-03-02,2027-03-04,Ptak Warsaw Expo,,Warsaw,Poland,,https://expomap.ru/en/expo/gun-shooting-expo/
3165,"HKTDC Hong Kong International Diamond, Gem & Pearl Show 2027",hktdc.com,http://www.hktdc.com/hkdgp,2027-03-02,2027-03-06,Hong Kong Convention & Exhibition Centre,,Hong Kong,Hong Kong,,https://expomap.ru/en/expo/hktdc-hong-kong-international-diamond-gem-pearl-show/
3166,Independent Hotel Show - Amsterdam 2027,independenthotelshow.nl,http://www.independenthotelshow.nl/en,2027-03-02,2027-03-03,RAI International Exhibition and Congress Centre,,Amsterdam,Netherlands,,https://expomap.ru/en/expo/independent-hotel-show-amsterdam/
3167,Intec 2027,messe-intec.de,http://www.messe-intec.de,2027-03-02,2027-03-05,Exhibition Centre Leipzig,,Leipzig,Germany,,https://expomap.ru/en/expo/intec/
3168,Kind + Jugend Asean 2027,expolead.ru,https://expolead.ru/info-partner,2027-03-02,2027-03-05,Queen Sirikit National Convention Center,,Bangkok,Thailand,,https://expomap.ru/en/expo/kind-jugend-asean/
3169,Lope-c 2027,lope-c.com,http://www.lope-c.com,2027-03-02,2027-03-04,ICM - International Congress Centre Munich,,Munich,Germany,,https://expomap.ru/en/expo/lope-c/
3170,MegaClima Ghana 2027,megaclimaexpo.com,https://megaclimaexpo.com/ghana/index.html,2027-03-02,2027-03-04,Accra International Conference Centre,,Accra,Ghana,,https://expomap.ru/en/expo/megaclima-ghana/
3171,MGIA Annual Trade Show & Convention 2027,landscape.org,https://www.landscape.org/tradeshow,2027-03-02,2027-03-03,Suburban Collection Showplace,,Novi,United States,,https://expomap.ru/en/expo/mgia-annual-trade-show-convention/
3172,Mobac Show 2027,mobacshow.com,https://www.mobacshow.com/,2027-03-02,2027-03-05,Intex Osaka,,Osaka,Japan,,https://expomap.ru/en/expo/mobac-show/2027/mar/
3173,Modular & Prefab 2027,modularprefabexpopoland.com,http://modularprefabexpopoland.com/en,2027-03-02,2027-03-04,Ptak Warsaw Expo,,Warsaw,Poland,,https://expomap.ru/en/expo/modular-prefab/
3174,Natural Products Expo West 2027,expowest.com,https://www.expowest.com/en/home.html,2027-03-02,2027-03-05,Anaheim Convention Center,,Anaheim,United States,,https://expomap.ru/en/expo/natural-products-expo-west/
3175,New York Build 2027,newyorkbuildexpo.com,https://www.newyorkbuildexpo.com/,2027-03-02,2027-03-03,Jacob K. Javits Convention Center,,New York,United States,,https://expomap.ru/en/expo/new-york-build/
3176,Propak East Africa 2027,propakeastafrica.com,https://www.propakeastafrica.com/,2027-03-02,2027-03-04,Sarit Centre Expo Hall,,Nairobi,Kenya,,https://expomap.ru/en/expo/propak-east-africa/
3177,RAX 2027,stier.co.il,https://stier.co.il/rax/en/,2027-03-02,2027-03-03,Expo Tel Aviv (Israel Trade Fairs & Convention Center),,Tel Aviv,Israel,,https://expomap.ru/en/expo/rax/
3178,The National Wedding Show Birmingham 2027,nationalweddingshow.co.uk,https://nationalweddingshow.co.uk/location/birmingham-nec/,2027-03-02,2027-03-03,National Exhibition Centre (NEC),,Birmingham,United Kingdom,,https://expomap.ru/en/expo/the-national-wedding-show-birmingham/
3179,Timtos 2027,timtos.com.tw,https://www.timtos.com.tw/,2027-03-02,2027-03-07,Taipei World Trade Center (TWTC),,Taipei,Taiwan,,https://expomap.ru/en/expo/timtos/2027/mar/
3180,Tire Technology Expo 2027,tiretechnology-expo.com,https://www.tiretechnology-expo.com/en/,2027-03-02,2027-03-04,Hanover Exhibition Grounds,,Hanover,Germany,,https://expomap.ru/en/expo/tire-technology-expo/
3181,Wood Tech Warsaw Expo 2027,woodwarsawexpo.com,http://woodwarsawexpo.com/en,2027-03-02,2027-03-04,Ptak Warsaw Expo,,Warsaw,Poland,,https://expomap.ru/en/expo/wood-tech-warsaw-expo/
3182,World Financial Innovation Series 2027,kenya.worldfis.com,https://kenya.worldfis.com/,2027-03-02,2027-03-02,"Edge Convention Centre, Nairobi",,Nairobi,Kenya,,https://expomap.ru/en/expo/world-financial-innovation-series/
3183,World Sustainable Energy Days (WSED) 2027,wsed.at,https://www.wsed.at/,2027-03-02,2027-03-05,Wels Exhibition Center GmbH,,Wels,Austria,,https://expomap.ru/en/expo/world-sustainable-energy-days-wsed/
3184,Z 2027,subcontractingfair.com,https://www.subcontractingfair.com/,2027-03-02,2027-03-05,Leipzig Exhibition Center,,Leipzig,Germany,,https://expomap.ru/en/expo/z/
3185,AfriGlass / Windex Africa 2027,expoafriglass.com,https://expoafriglass.com/,2027-03-03,2027-03-05,,,Nairobi,Kenya,,https://expomap.ru/en/expo/afriglass-windex-africa/
3186,AUTOMECHANIKA Baku 2027,expolead.ru,https://expolead.ru/info-partner,2027-03-03,2027-03-05,,,Baku,Azerbaijan,,https://expomap.ru/en/expo/automechanika-baku/2027/
3187,Delhiwood 2027,delhi-wood.com,http://www.delhi-wood.com,2027-03-03,2027-03-06,Bangalore International Exhibition Centre,,Bangalore,India,,https://expomap.ru/en/expo/delhiwood/
3188,Elettronica Italia 2027,mecspe.com,http://www.mecspe.com/it,2027-03-03,2027-03-05,Bologna Exhibition Centre,,Bologna,Italy,,https://expomap.ru/en/expo/elettronica-italia/
3189,Energy Saving Fair 2027,energiesparmesse.at,http://www.energiesparmesse.at/ne13/?pn=6170028,2027-03-03,2027-03-07,Wels Exhibition Center GmbH,,Wels,Austria,,https://expomap.ru/en/expo/energiesparmesse/
3190,Eurostampi 2027,mecspe.com,http://www.mecspe.com/en,2027-03-03,2027-03-05,Bologna Exhibition Centre,,Bologna,Italy,,https://expomap.ru/en/expo/eurostampi/
3191,Event Production Show 2027,eventproductionshow.co.uk,https://www.eventproductionshow.co.uk/,2027-03-03,2027-03-04,ExCeL,,London,United Kingdom,,https://expomap.ru/en/expo/event-production-show/
3192,F-Cell 2027,messe-stuttgart.de,http://www.messe-stuttgart.de/f-cell,2027-03-03,2027-03-04,New Stuttgart Trade Fair Centre,,Stuttgart,Germany,,https://expomap.ru/en/expo/f-cell/
3193,HPBExpo 2027,hpbexpo.com,https://www.hpbexpo.com/,2027-03-03,2027-03-06,Ernest N. Morial Convention Center,,New Orleans,United States,,https://expomap.ru/en/expo/hpbexpo/
3194,hy-fcell 2027,f-cell.de,https://f-cell.de/,2027-03-03,2027-03-04,Stuttgart Exhibition Center,,Stuttgart,Germany,,https://expomap.ru/en/expo/hy-fcell/
3195,IL Salone Dello Studente - Perugia 2027,salonedellostudente.it,http://www.salonedellostudente.it/salone-dello-studente,2027-03-03,2027-03-04,Umbriafiere,,Perugia,Italy,,https://expomap.ru/en/expo/il-salone-dello-studente-perugia/
3196,India Mattresstech Expo 2027,indiamattresstechexpo.com,https://www.indiamattresstechexpo.com/home,2027-03-03,2027-03-06,India Expo Centre and Mart,,New Delhi,India,,https://expomap.ru/en/expo/india-mattresstech-expo/
3197,IndiaWood 2027,indiawood.com,https://www.indiawood.com/,2027-03-03,2027-03-06,India Expo Centre and Mart,,New Delhi,India,,https://expomap.ru/en/expo/indiawood/
3198,International Industrial Automation and Robot Exhibition (ARE) Shenzhen 2027,are-expo.cn,http://www.are-expo.cn/en/,2027-03-03,2027-03-05,Dongguan Convention and Exhibition Center,,Dongguan,China,,https://expomap.ru/en/expo/international-industrial-automation-and-robot-exhibition-are-shenzhen/
3199,ISLE Shenzhen 2027,isle.org.cn,https://www.isle.org.cn/,2027-03-03,2027-03-05,Shenzhen World Exhibition & Convention Center (Baoan New Pavilion),,Shenzhen,China,,https://expomap.ru/en/expo/isle-shenzhen/
3200,MECSPE 2027,mecspe.com,http://www.mecspe.com/en,2027-03-03,2027-03-05,Bologna Exhibition Centre,,Bologna,Italy,,https://expomap.ru/en/expo/mecspe/
3201,Baltic Sea Fair 2027,inrostock.de,https://www.inrostock.de/messen/ostseemesse,2027-03-03,2027-03-07,Rostock Hanseatic Exhibition Center,,Rostock,Germany,,https://expomap.ru/en/expo/ostseemesse/
3202,PA Show Spring 2027,thepashow.com,https://www.thepashow.com/,2027-03-03,2027-03-04,The HAC,,London,United Kingdom,,https://expomap.ru/en/expo/pa-show/
3203,Smart Retail Expo 2027,smartretail-expo.com,http://smartretail-expo.com,2027-03-03,2027-03-05,Bangkok International Trade & Exhibition Centre (BITEC),,Bangkok,Thailand,,https://expomap.ru/en/expo/smart-retail-expo/
3204,Trattamenti E Finiture 2027,mecspe.com,http://www.mecspe.com/en,2027-03-03,2027-03-05,Bologna Exhibition Centre,,Bologna,Italy,,https://expomap.ru/en/expo/trattamenti-e-finiture/
3205,Webuild Energy Saving Fair Wels 2027,energiesparmesse.at,http://energiesparmesse.at,2027-03-03,2027-03-07,Wels Exhibition Center,,Wels,Austria,,https://expomap.ru/en/expo/webuild-energiesparmesse-wels/
3206,Wetec 2027,messe-stuttgart.de,http://www.messe-stuttgart.de/wetec/en,2027-03-03,2027-03-05,Liederhalle Stuttgart,,Stuttgart,Germany,,https://expomap.ru/en/expo/wetec/
3207,Asia Coffee Shop Supply Chain Exhibition 2027,asiacoffeeshow.com,http://www.asiacoffeeshow.com/index.php,2027-03-04,2027-03-06,,,Guangzhou,China,,https://expomap.ru/en/expo/asia-coffee-shop-supply-chain-exhibition/
3208,Cosmetics Innovation Expo 2027,cie.pinguan.com,https://cie.pinguan.com/en,2027-03-04,2027-03-06,Hangzhou International Expo Center,,Hangzhou,China,,https://expomap.ru/en/expo/cosmetics-innovation-expo/
3209,Design Shanghai 2027,designshanghai.com,https://www.designshanghai.com/,2027-03-04,2027-03-07,Shanghai World Expo Exhibition & Convention Center (SWEECC),,Shanghai,China,,https://expomap.ru/en/expo/design-shanghai/
3210,ELEXSHOW Bolton 2027,elexshow.info,https://elexshow.info/,2027-03-04,2027-03-05,Bolton Arena,,Bolton,United Kingdom,,https://expomap.ru/en/expo/elexshow-bolton/
3211,Iwa & Outdoorclassics 2027,iwa.info,http://www.iwa.info,2027-03-04,2027-03-07,Exhibition Centre Nuremberg,,Nuremberg,Germany,,https://expomap.ru/en/expo/iwa-outdoorclassics/
3212,Motocykl / Motorcycle 2027,motocykl-praha.cz,http://www.motocykl-praha.cz,2027-03-04,2027-03-07,,,Prague,Czech Republic,,https://expomap.ru/en/expo/motocykl-motorcycle/
3213,Packinno 2027,packinno.com,https://www.packinno.com/INNO/visitor/Transportation/eng,2027-03-04,2027-03-06,Guangzhou IC and Exhibition Center,,Guangzhou,China,,https://expomap.ru/en/expo/packinno/
3214,Printing South China 2027,printingsouthchina.com,https://www.printingsouthchina.com/PRT25/idx/eng,2027-03-04,2027-03-06,China Import and Export Fair Pazhou Complex,,Guangzhou,China,,https://expomap.ru/en/expo/printing-south-china/
3215,Sino-Label 2027,sinolabelexpo.com,https://www.sinolabelexpo.com/LAB25/idx/eng,2027-03-04,2027-03-06,China Import and Export Fair Pazhou Complex,,Guangzhou,China,,https://expomap.ru/en/expo/sino-label/
3216,Sino-Pack 2027,chinasinopack.com,https://www.chinasinopack.com/GPAC/idx/eng,2027-03-04,2027-03-06,China Import and Export Fair Pazhou Complex,,Guangzhou,China,,https://expomap.ru/en/expo/sino-pack/
3217,WOHGA 2027,wohga.ch,http://www.wohga.ch,2027-03-04,2027-03-07,Eulachhallen Winterthur,,Winterthur,Switzerland,,https://expomap.ru/en/expo/wohga/
3218,AB Hof 2027,messewieselburg.at,https://www.messewieselburg.at/messen/ab-hof/messeinformation/daten-fakten/,2027-03-05,2027-03-08,Volksfestplatz 3,,Wieselburg,Austria,,https://expomap.ru/en/expo/ab-hof/
3219,APIMELL 2027,apimell.it,https://www.apimell.it/,2027-03-05,2027-03-07,Piacenza Expo,,Piacenza,Italy,,https://expomap.ru/en/expo/apimell/
3220,Salzburg Car Fair 2027,automesse-salzburg.at,https://www.automesse-salzburg.at/de/,2027-03-05,2027-03-07,Salzburg Exhibition Center,,Salzburg,Austria,,https://expomap.ru/en/expo/automesse-salzburg/
3221,Automotoretro 2027,automotoretro.it,http://www.automotoretro.it/en,2027-03-05,2027-03-07,Parma,,Parma,Italy,,https://expomap.ru/en/expo/automotoretro/
3222,Babini Dortmund 2027,babini.family,http://babini.family/dortmund,2027-03-05,2027-03-07,Exhibition Centre Dortmund,,Dortmund,Germany,,https://expomap.ru/en/expo/babini-dortmund/
3223,Braunschweig Building Fair 2027,baumesse.de,https://www.baumesse.de/braunschweig,2027-03-05,2027-03-07,MEC Millenium Event Center,,Braunschweig,Germany,,https://expomap.ru/en/expo/baumesse-braunschweig/
3224,BC Sportsmen's Show 2027,bcsportsmenshow.ca,http://www.bcsportsmenshow.ca/,2027-03-05,2027-03-07,Tradex,,Abbotsford,Canada,,https://expomap.ru/en/expo/bc-sportsmens-show/
3225,Buffalo Home Show 2027,buffalohomeshow.com,https://buffalohomeshow.com/,2027-03-05,2027-03-07,,,Buffalo,United States,,https://expomap.ru/en/expo/buffalo-home-show/
3226,Buonvivere 2027,buonvivere.info,https://www.buonvivere.info/,2027-03-05,2027-03-07,Piacenza Expo,,Piacenza,Italy,,https://expomap.ru/en/expo/buonvivere/
3227,Caravan Bike Travel 2027,veltrhcbt.sk,https://www.veltrhcbt.sk/,2027-03-05,2027-03-07,Agrokomplex Nitra,,Nitra,Slovakia,,https://expomap.ru/en/expo/caravan-bike-travel/
3228,Dental Showcase 2027,dentalshowcase.com,https://www.dentalshowcase.com/,2027-03-05,2027-03-06,ExCeL,,London,United Kingdom,,https://expomap.ru/en/expo/dental-showcase/
3229,Garten Salzburg 2027,garten-salzburg.at,https://www.garten-salzburg.at/de/,2027-03-05,2027-03-07,Salzburg Exhibition Center,,Salzburg,Austria,,https://expomap.ru/en/expo/garten-salzburg/
3230,Kulinarik Salzburg 2027,kulinarik-salzburg.at,https://www.kulinarik-salzburg.at/de/,2027-03-05,2027-03-07,Salzburg Exhibition Center,,Salzburg,Austria,,https://expomap.ru/en/expo/kulinarik-salzburg/
3231,Saxony-Anhalt State Building Exhibition 2027,expotecgmbh.de,http://www.expotecgmbh.de/messen-inland/landes-bau-ausstellung-sachsen-anhalt,2027-03-05,2027-03-07,Magdeburg Fairgrounds,,Magdeburg,Germany,,https://expomap.ru/en/expo/landes-bau-ausstellung-sachsen-anhalt/
3232,Matter And Shape 2027,whosnext.com,http://whosnext.com/en/events/matter-and-shape,2027-03-05,2027-03-08,Jardin des Tuileries - Esplanade des Feuillants,,Paris,France,,https://expomap.ru/en/expo/matter-and-shape/
