exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
"CHONGQING SYEFON ENVIRONMENTAL TECHNOLOGY CO., LTD.",syefon.com,,,Uzexpocentre NEC,China,"CHONGQING SYEFON ENVIRONMENTAL TECHNOLOGY CO., LTD.",K 130,"Chongqing SYEFON Environmental Technology Co., Ltd. is a service-oriented manufacturer specializing in fresh air technology. Founded in 2019, the company is headquartered in Jiangjin, Chongqing. It holds a number of invention patents and utility model patents, and has obtained the International Quality Management System Certification and China Compulsory Certification (CCC). It serves as a designated OEM factory for several well-known brands.",Tashkent,
"CIXI HANDEBURG PIPE FITTINGS CO., LTD",,,,Uzexpocentre NEC,China,"CIXI HANDEBURG PIPE FITTINGS CO., LTD",F 25,"Handeburg Fittings is a manufacturing enterprise specializing in the production of manifolds, ball valves, copper fittings and stainless steel press‑fittings.customers are mainly from Russia, the five Central Asian countries, Ukraine, Poland .For 20 years, we have focused on one mission: developing the HVAC industry to bring warmth to every householdWith 20‑year‑long production and after‑sales experience, we can provide professional solutions to all your problems encountered during product application.All HVAC industry partners are warmly welcome to visit us for in‑depth discussions. Let’s make HVAC systems more perfect and user‑friendly through effective communication.",Tashkent,
"CIXI HEE SUNG FITTINGS CO,.LTD",heesungfittings.com,,,Uzexpocentre NEC,China,"CIXI HEE SUNG FITTINGS CO,.LTD",F 60,"Heesung Fittings is a professional manufacturer of brass fittings and valves since 2010. The factory covers 4,000 square meters and was producing 6 million pieces of brass fittings and valves. Our strong supplying capacity, 100 staffs with annual professional service and flexible business conception make Heesung Fittings grow fast。 We have developed a wide range of brass products such as brass pipe fittings, brass ball valves, angle valves, etc. And we also provide many companies in the world with OEM service. We welcome all friends to visit us for discussing business and seeking future cooperation.",Tashkent,
CLIMADENS PRO,climadens.uz,,,Uzexpocentre NEC,Uzbekistan,CLIMADENS PRO,G 50,"The CLIMADENS company was founded in 2019 on the basis of private entrepreneurship with 15 years of experience. Based on its experience, the company offers its customers a full line of products needed to organize heating, water supply and sewerage systems. The list of the line consists of products from high-quality pipes and fittings to heating boilers. Many products are presented under its own brand CLIMADENS. The company has its own design and technical group to optimize the use of products. Our company is the official dealer of many world brands, with most of which we are bound by exclusive contracts.",Tashkent,
CRAFT,,,,Uzexpocentre NEC,Russian Federation,CRAFT,G 40,"CRAFT Industrial UNIVERSAL LLC manufactures professional smoke exhaust systems for industrial boiler houses, collective and cascade condensing systems, systems under pressure up to 5000 Pa, and high-temperature units of increased operational intensity. Diameters 60-1200 mm for any operating conditions. Top stainless steel grades AISI 304, 310S, 316L and 444; laser 3D cutting ensures precise geometry of flue components. Easy installation, safety and reliability are our main priorities. Over 100 engineering and technical specialists, 14,000 products in range, 10,000 m2 of production and warehouse area, over 200 modern machines, average service life 100 years. We welcome visits to our production",Tashkent,
"DAEHAN FLEXIBLE DUCT HOSE CO., LTD.",duct.co.kr,,,Uzexpocentre NEC,South Korea,"DAEHAN FLEXIBLE DUCT HOSE CO., LTD.",K 110,"DAEHAN Flexible Duct Hose Co., Ltd. was established on March 1, 1982. Under the managements motto, ""the best customer satisfaction through the best quality"", all our employees are working in harmony as if in a same soul. We are a very prospective and strong company that challenges the 21st century with the progressive mind.",Tashkent,
"DAFU INTELLIGENT TECHNOLOGY CO., LTD.",dafupump.com,,,Uzexpocentre NEC,China,"DAFU INTELLIGENT TECHNOLOGY CO., LTD.",K 24,"Dafu Intelligent Technology Co., Ltd. operates a modern production base spanning 200,000 square meters, with a 200-person R&D team and over 1,500 employees. Equipped with 2,800 advanced manufacturing and testing devices, the company emphasizes independent innovation, housing a top-tier R&D team and a national-standard testing lab. It established the Shangrao Enterprise Technology Centre and holds 30+ patents, strengthening its technological edge. Committed to tech-driven growth, Dafu adopts cutting-edge production and management practices, continuously upgrading equipment and processes to enhance quality and efficiency. Rigorous quality management ensures reliable products and services.",Tashkent,
DAIKIN,daikin-dc.uz,,,Uzexpocentre NEC,Uzbekistan,DAIKIN,L 52-1,"DAIKIN is a global leader in climate technology, creating advanced solutions for comfort, energy efficiency and superior indoor air quality.At the exhibition, the brand presents a comprehensive portfolio of premium split and multi-split systems, VRV systems, fan coils, chillers, ventilation equipment, heat recovery ventilators, air purifiers and humidifiers.DAIKIN solutions combine advanced technologies, intelligent control and high energy efficiency, providing an optimized indoor climate for residential, commercial and industrial spaces.DC ENGINEERING is an official DAIKIN distributor and the only authorized DAIKIN Service Center in Uzbekistan, providing equipment supply, professional selection, installation, commissioning and technical service.",Tashkent,https://www.linkedin.com/in/daikin-uz-9b9142357
DAS-AWP TRADE,,,,Uzexpocentre NEC,Uzbekistan,DAS-AWP TRADE,G 11,"The company is focused on producing high-quality products, as well as providing consumers with first-class sanitary products for kitchens and bathrooms and creating environmentally friendly and comfortable products for your apartments and houses.The main products are various types of mixers, ball valves and other products.",Tashkent,
DENIZSU VE ATIKSU ARITIM INS. TIC.SAN.A.S,,,,Uzexpocentre NEC,Türkiye,DENIZSU VE ATIKSU ARITIM INS. TIC.SAN.A.S,K 48,"Aquamatch specializes in water treatment and wastewater reuse solutions, providing engineering, manufacturing, and supply of water treatment systems. Its solutions include membrane systems, desalination, wastewater treatment, and water reuse. The company operates globally, delivering sustainable water solutions and technical services across various regions.",Tashkent,https://www.linkedin.com/company/aquamatchturkey/about/
DOMGLASS LLC,,,,Uzexpocentre NEC,Russian Federation,DOMGLASS LLC,L 60-9,"DOMO-GROUP is a premier design and production holding in the glass industry with over 25 years of expertise. We integrate engineering services, design bureaus, and 14,000 sq. m of automated manufacturing spaces.The holding offers a unique turnkey, ""single-window"" approach: from manufacturing smart glass, fire-rated systems, and premium hardware to specialized transport and installation by certified teams. With over 10,000 completed B2B projects, DOMO-GROUP guarantees strict compliance with building codes and the capacity to scale for any order size.",Tashkent,
"DONGGUAN HOREA ENERGY TECHNOLOGY CO.,LTD.",,,,Uzexpocentre NEC,China,"DONGGUAN HOREA ENERGY TECHNOLOGY CO.,LTD.",K 100,"We are a leading manufacturer and solution provider of HVAC, refrigeration, and hot water-related products in China.",Tashkent,
DYNAMIC SYSTEM DISTRIBUTION,,,,Uzexpocentre NEC,Uzbekistan,DYNAMIC SYSTEM DISTRIBUTION,G 20,Dynamic System Distrubution - official distributor of Haier appliances in Uzbekistan.,Tashkent,
EBITT FLUID TECHNOLOGY INDUSTRY A.S.,ebitt.com.tr,,,Uzexpocentre NEC,Türkiye,EBITT FLUID TECHNOLOGY INDUSTRY A.S.,G 84,"EBITT Fluid Technologies is an engineering company specializing in advanced fluid management solutions. With strong manufacturing capabilities and operations across Turkey, Hungary, Dubai, and China, EBITT serves customers in more than 60 countries. The company provides reliable, efficient, and project-specific solutions for building services, industrial, water supply, wastewater, and fire protection applications. From advanced pressure boosting systems and centrifugal pumps to UL/FM fire pump sets, EBITT combines quality, technology, and technical expertise. Its system-oriented approach ensures dependable performance, energy efficiency, and long-term value for every project worldwide, backed by responsive service and a commitment to continuous innovation.",Tashkent,https://www.linkedin.com/company/ebitt-fluid-technologies/
ECOTHERM,ecotherm.uz,,,Uzexpocentre NEC,Uzbekistan,ECOTHERM,F 112,"ECOTHERM — один из ведущих поставщиков инженерных систем, отопительного оборудования и сантехнических решений в Узбекистане. Компания предлагает комплексные решения для систем отопления, водоснабжения и инженерных систем, включая котлы, водонагреватели, радиаторы, трубы, фитинги, насосы, клапаны и другие компоненты. В нашем портфолио представлены европейские и международные бренды, такие как RBM, IVAR, GROHE, ROCA и другие. ECOTHERM также разрабатывает собственные бренды и предоставляет профессиональную техническую поддержку, послепродажное обслуживание и гарантийное обслуживание. Компания сотрудничает с дистрибьюторами, строительными компаниями, монтажниками, проектировщиками и конечными потребителями, предоставляя надежные и эффективные решения для жилых и коммерческих проектов.",Tashkent,
"FANCY PUMP (ZHEJIANG) CO.,LTD",fancypump.com,,,Uzexpocentre NEC,China,"FANCY PUMP (ZHEJIANG) CO.,LTD",K 82,"FANCY PUMP (ZHEJIANG) CO., LTD. specializes in manufacturing various water pumps for agriculture irrigation, garden irrigation, HVAC, pipeline boosting, building water supply, residential & commercial use, fire protection, industrial wastewater and sewage treatment. At present, Fancy Pump has over 100 product series, over 5,000 specifications, and over 60 distributors all over the world in 6 continents. Fancy Pump has focused on the research and development of advanced pump technologies and precision manufacturing. Our mission is to lead the fluid industry and to create a better life for everyone.",Tashkent,https://www.linkedin.com/company/fancy-water-pump-industry-zhejiang-co-ltd/posts/
FORMAT,format-corp.com,,,Uzexpocentre NEC,Russian Federation,FORMAT,L 60-5,"The FORMAT company has been producing high-quality styrofoam products for over 25 years. We produce slabs with bosses for water underfloor heating, thermal containers, medical packaging, furniture packaging, electronics packaging, facade insulation and much more from expanded polystyrene by molding. Production sites in the Moscow region, Leningrad region and Omsk. At the Aquatherm exhibition, we primarily present plates for water underfloor heating FORMAT EasyFix. The plates are specially designed for fast and high-quality installation of underfloor heating. We successfully supply our plates to Kazakhstan and Azerbaijan.",Tashkent,
"FOSHAN GUANGTENG NEW ENERGY CO., LTD",guangteng.com,,,Uzexpocentre NEC,China,"FOSHAN GUANGTENG NEW ENERGY CO., LTD",F 106,"Foshan Guangteng New Energy was established in 2003 which is a national high-tech enterprise specializing in the production of heat pumps. We locate in Foshan city, China, with more 17,000 square meters workshop, automated production lines, 7 heat pump laboratories and more than 70 patents, integrates manufacturing, research and development, quality control, technical training, and after-sales service. Automated and intelligent devices continuously improve production efficiency.As a leading manufacturer of heat pumps, Our product range include house heating and cooling heat pumps, swimming pool heat pump and domestic hot water heat pump, etc.",Tashkent,
"FOSHAN LEGEND ELECTRICAL APPLIANCES CO.,LTD.",legendwt.com,,,Uzexpocentre NEC,China,"FOSHAN LEGEND ELECTRICAL APPLIANCES CO.,LTD.",F 114,"Legend Water Tank established in 2007. Foshan Legend Electrical Appliances Co.,Ltd. is a professional manufacturer of stainless steel water tanks in China. Our products cover Heat Pump Water Tank, Electrical Heating Water Tank, Solar Water Tank, Heat Recovery Water Tank, Buffer Water Tank, Pressure Water Tank, Multifunction Water Tank, etc. And we ranked top 3 in Chinese domestic water tank market.",Tashkent,
"FOSHAN NANHAI NANYANG ELECTRIC APPLIANCE & MOTOR CO.,LTD",ny-motor.com,,,Uzexpocentre NEC,China,"FOSHAN NANHAI NANYANG ELECTRIC APPLIANCE & MOTOR CO.,LTD",K 89,"Founded in 1987, Foshan Nanhai Nanyang Electric Appliance Co.,Ltd, (NANYOO) has specialized in the manufacturing, marketing and R&D of Air Curtains, Electric Motors and Ventilation equipment for over 30 years, and become a leading professional science and technology enterprise, and the brand name NANYOO and NSW,NSW Diamond, has proven very popular in both domestic and international markets. NANYOO becomes a leading company in R&D, Quality Control and Service in the air handling industry in cooperation with several famous universities, including the Wuhan University of Science and Technology, as well as successful implementation of the ISO9001 quality management system.",Tashkent,
"FOSHAN SHENGYU XINRUN SUPPLY CHAIN CO., LTD",,,,Uzexpocentre NEC,China,"FOSHAN SHENGYU XINRUN SUPPLY CHAIN CO., LTD",F 21,"We are a mid-large Chinese manufacturer with 550+ employees and 50,000m² facility, producing over 1 million water heating units annually. Our core export lines:Electric Water Heaters – Air-to-Water Heat Pumps – We support OEM/ODM, custom packaging, private labeling, and mixed container loading. Certified to CE, CB, RoHS, ISO9001. Currently exporting to Southeast Asia, Middle East, and South America. Reliable quality, stable delivery, B2B partnership ready. Welcome to our booth for live demo.",Tashkent,
GAZ ISSITMA JIHOZLARI,,,,Uzexpocentre NEC,Uzbekistan,GAZ ISSITMA JIHOZLARI,H 72,Biz issitish sovutish jihozlarni sotish urnatish va kafolat berish buyuicha shugullanamiz,Tashkent,
GD ROC COOL AND HEAT EQP LTD,rocgas.com,,,Uzexpocentre NEC,China,GD ROC COOL AND HEAT EQP LTD,F 56,"GD ROC COOL AND HEAT EQP LTD was owned by Keni Group (Hong Kong) Limited and was registered and established in Zhanjiang City, Guangdong Province on December 19, 1995, with a registered capital of USD 3.7 million. The company covers an area of 29,568 square meters, with a building area of 50,330 square meters. It integrates the research, development, production, and sales services of gas boilers and clothes-care machines. Currently, the company has over 120 employees and an annual production capacity of 300, 000 pcs. The product has obtained both the EU CE certification and the CCC certification, and ISO quality management systems and environmental management systems",Tashkent,
"GEORGE DESIGN&CONSTRUCTION CO.,LTD.",georgematerialsdesign.com,,,Uzexpocentre NEC,China,"GEORGE DESIGN&CONSTRUCTION CO.,LTD.",H 12,We provide one-stop solution for home owners and builders.,Tashkent,
GOLDEN PAGES,,,,,Uzbekistan,GOLDEN PAGES,,"Golden Pages is an information-reference system for companies and enterprises in Uzbekistan. For more than 20 years, it has been represented in the market of Uzbekistan with the following projects: ∙ ""Golden Pages business directory"" - a printed publication for easy search and work with information; ∙ www.gp.uz - a search engine for companies in three languages (Uzbek, Russian and English) with more than 17 million visitors per year; ∙ a support telegram bot - @gpuzbot with about 900,000 users; ∙ (78 1400909) a telephone information service; ∙ www.tovar.uz - a unique trading platform with about 2,000 sellers - buy and sell easily.",Tashkent,
GROTA,grota.ru,,,Uzexpocentre NEC,Russian Federation,GROTA,L 60-1,"The company was founded in 1996, initially producing brass fittings for metal-polymer pipes. Thanks to qualified personnel and a strong focus on quality, the business grew rapidly. In 2000, production capacity more than doubled, and the company launched distribution cabinet production, soon becoming a leading manufacturer in the Russian market. In 2008, its production was certified according to ISO 9001.Today, the company focuses on two main areas: towel rails and distribution cabinets.The 5,000 m² production facility processes around 20,000 tons of rolled steel annually. The company is actively expanding its exports, with its products highly valued in Europe and international supplies steadily increasing.",Tashkent,
GUANGDONG AOQIJIESANITARY WARE CO..LTD,aoqijie.en.made-in-china.com,,,Uzexpocentre NEC,China,GUANGDONG AOQIJIESANITARY WARE CO..LTD,L 24,"we are the manufacturer produce the sanitary ware since 1998 in chaozhou city,china",Tashkent,
"GUANGDONG GEMAKE ELECTRIC APPLIANCE CO., LTD",,,,Uzexpocentre NEC,China,"GUANGDONG GEMAKE ELECTRIC APPLIANCE CO., LTD",H 34,"Gemake is a professional manufacturer of waterheater with production base covers more than 200,000m2 and employees over1000 people. Since its first water heater product in 2000, Gemake has targeted to be theglobal hot water supply expert. It follows the tenet of high quality, high gradeand uses international advanced facilities to provide most innovative productsfor customers. The company introduces production lines which consist of high-tech equipments directly imported from Germany, Japan and USA to provide thesame level of quality products from renowned Europe brands while keeping themanufacturing cost at rational level. Also Gemake attaches great importance to product innovations.",Tashkent,
"GUANGDONG HAIHUANG KITCHEN TECHNOLOGY CO.,LTD.",haihuangtoilet.cn,,,Uzexpocentre NEC,China,"GUANGDONG HAIHUANG KITCHEN TECHNOLOGY CO.,LTD.",H 10,"Haihuang Company produce smart toilet,traditional toilet,ceramic basin and more sanitary ware products.Our factory located in ChaoZhou City,GuangDong Province,China.Welcome to visit our factory and cooperate with us!",Tashkent,https://www.linkedin.com/company/Nadia Su
"GUANGDONG LINGXIAO PUMP INDUSTRY CO.,LTD.",lingxiao.com.cn,,,Uzexpocentre NEC,China,"GUANGDONG LINGXIAO PUMP INDUSTRY CO.,LTD.",L 26,"GUANGDONG LINGXIAO PUMP INDUSTRY CO., LTD.(LX), founded in 1997 and listed in 2017, supplies premium energy-saving pumps for water treatment, pool & SPA, HVAC etc. Its pool & SPA pumps lead global sales. Running with 1300+ staff and 3 manufacturing bases with 6 million units annual output, LX exports to 105+ countries. Email: sales@lingxiao.com.cn",Tashkent,
"GUANGDONG OUTES INTELLIGENT ENVIRONMENT TECHNOLOGY CO., LTD",outes-tech.com,,,Uzexpocentre NEC,China,"GUANGDONG OUTES INTELLIGENT ENVIRONMENT TECHNOLOGY CO., LTD",K 80,"Guangdong Outes Intelligent Environment Technology Co., Ltd. is a modern enterprise focusing on the global HVAC and heat pump market, empowering global customers through professional sales and services.Outes Intelligent Environment specializes in:Providing a full range of HVAC products, covering VRF, light commercial, air handler , rooftop package, air-cooled modular units, air source heat pumps, etc.Offering mature and reliable manufacture support with stable production capacity, strict quality control and a large-scale production platform.Delivering flexible OEM/ODM solutions customized according to regional standards and brand requirements.",Tashkent,
"GUANGZHOU SPRSUN NEW ENERGY TECHNOLOGY DEVELOPMENT CO., LTD.",sprsun.com,,,Uzexpocentre NEC,China,"GUANGZHOU SPRSUN NEW ENERGY TECHNOLOGY DEVELOPMENT CO., LTD.",F 62,"Since 1999, SPRSUN has been a leading Chinese manufacturer of high-efficiency air-source heat pumps — for indoor climate control, hot water, and eco-friendly pool heating. Our heat pumps are approved to the EN14511 standard and carry key international certifications — including CE, KEYMARK, MCS, UKCA, ISO, RoHS, BAFA, and ERP — guaranteeing performance, safety, and full compliance.",Tashkent,
"GZHCH MACHINERY TECHNOLOGY CO., LTD",,,,Uzexpocentre NEC,China,"GZHCH MACHINERY TECHNOLOGY CO., LTD",K 32,"GZHCH MACHINERY was founded in 1986. We have a 30,000m2 workshop and 150 professional technicians, specializing in HVAC duct machinery. We supply full services and modular equipment solutions. Looking forward to cooperation.",Tashkent,
H.STARS (GUANGZHOU) REFRIGERATING EQUIPMENT GROUP LTD.,hstarschiller.com,,,Uzexpocentre NEC,China,H.STARS (GUANGZHOU) REFRIGERATING EQUIPMENT GROUP LTD.,K 26,"For over 30 years, H.Stars Group has been manufacturing a wide range of HVAC equipment, including air-cooled chillers, water-cooled chillers, high-temperature heat pumps, AHUs, and shell-and-tube heat exchangers. H.Stars products have been installed in 53+ different countries worldwide, serving diverse HVAC needs. With H.Stars Hong Kong's brand recognition and 8 subsidiaries industrial chain, H.Stars has supplied HVAC products to Fortune 500 companies, adhering to CE, ASME, ISO, and AHRI, etc. standards according to clients' needs in both large commercial and industrial applications.",Tashkent,
"HANGZHOU FEIYAN FLUO PLASTICS CO.,LTD.",,,,Uzexpocentre NEC,China,"HANGZHOU FEIYAN FLUO PLASTICS CO.,LTD.",F 30,"Hangzhou Feiyan Fluo Plastics Co., Ltd was founded in 1993, specializing in manufacturing and exporting 100% of PTFE thread seal tape.",Tashkent,
"HANGZHOU JINJIU ELECTRIC APPLIANCE CO.,LTD",jinjiumotor.com,,,Uzexpocentre NEC,China,"HANGZHOU JINJIU ELECTRIC APPLIANCE CO.,LTD",K 108,"Hangzhou Jinjiu Electric Appliance Co., Ltd is a manufacturer specializing in the production of shaded pole motors (refrigerator fan motors), electronically commutated motors (EC motors), external rotor fans (axial fans), cooling fans, square fan motors, centrifugal fans, and motor accessories. With more than 22 years of experience in motor production, the company has 2 production bases and 1 R&D center, with the ability to independently develop DC motor PCBs and electronic control boards. We have professional customized automated production equipment, mainly including high-speed stamping, fully automatic cover stretching, plastic spraying, aluminum die-casting, robot welding, PCB clean workshops, and injection molding.",Tashkent,
"HANGZHOU MARK TECHNOLOGICAL CO.,LTD",marktpipe.com,,,Uzexpocentre NEC,China,"HANGZHOU MARK TECHNOLOGICAL CO.,LTD",F 24,"HANGZHOU MARK TECHNOLOGICAL CO., LTD is a company especially for water, heating, and gas systems. Produce and export PEX-AL pipe, PERT pipe, PPR pipe, and fittings for more than 20 years. Had service in more than 20 countries. HANGZHOU MARK supplies high and stable quality pipes and fittings, and its tools. Already got certificates of AENOR, WATERMARK, and CE. All products are produced according to ISO 9001 systems and are welcomed by all customers. We hope we can be your good partner also.",Tashkent,
"HANGZHOU WINLEAD TECHNOLOGY CO., LTD.",winleadtech.com,,,Uzexpocentre NEC,China,"HANGZHOU WINLEAD TECHNOLOGY CO., LTD.",K 62,"Hangzhou Winlead Technology Co., Ltd. is dedicated to the export of parts and finished products for the refrigeration, ventilation, heating, cold chain logistics, and mobile refrigeration sectors. In addition, we provide OEM and ODM solutions. With a global footprint, we serve customers in over 50 countries and regions.",Tashkent,
"HANGZHOU YUANSHENG COMFORT HOME TECHNOLOGY CO., LTD.",,,,Uzexpocentre NEC,China,"HANGZHOU YUANSHENG COMFORT HOME TECHNOLOGY CO., LTD.",F 50,"Hydraulic separator, hydraulic separator with manifold, manifold cabinet, pipe bend support, radiator feet, expansion tank holder.",Tashkent,
"HANGZHOU ZUKEYS INDUSTRY CO., LTD. DUSTRY CO., LTD",,,,Uzexpocentre NEC,China,"HANGZHOU ZUKEYS INDUSTRY CO., LTD. DUSTRY CO., LTD",K 42,"Multistage centrifugal pumps, variable frequency pumps, sewage pumps, deep well pumps. Energy-saving & high-efficiency, for water supply, water treatment and industrial circulation.",Tashkent,
"HEBEI LANGRI REFRIGERATION EQUIPMENT CO., LTD.，",langrilengnuan.com,,,Uzexpocentre NEC,China,"HEBEI LANGRI REFRIGERATION EQUIPMENT CO., LTD.，",F 38,"Hebei LangRi Heating and Cooling Equipment Co., Ltd.is a manufacturer integrating design, manufacturing,production and sales. The company mainly provides airsource heat pump units, fan coil units, water (ground)source heat pump units, fresh air ventilation units andother air conditioning and heating equipment. It hasalways focused on the development of the heat pumpindustr y and constantly absorbed advanced technolo-gies and representative cases of various projects.",Tashkent,
"HEBEI LANTIAN PLASTIC INDUSTRY CO., LTD",lantiansuye.com,,,Uzexpocentre NEC,China,"HEBEI LANTIAN PLASTIC INDUSTRY CO., LTD",H 18,"Hebei Lantian Plastic Industry Co., Ltd was established in 2001 and has over 25 years of professional experience. It has a 100,000-square-meter production base, more than 150 pieces of production equipment, over 5,000 sets of molds, and a professional team of 300 people. The annual production capacity reaches 200,000 tons. It focuses on the manufacturing of various pipe products. It provides one-stop OEM/ODM services. Haitian Pipeline Industry is a powerful factory and a reliable global pipeline supplier.",Tashkent,
