company_name,domain,description,booth,email,city,full_address,mobile_primary
EuroMaint,euromaint.se,"EuroMaint erbjuder kvalificerat tekniskt underhåll på spårbundna fordon som tillgodoser kundernas behov av väl fungerande fordonsflottor. Vi har ett nät av verkstäder från Luleå i norr till Malmö i söder, samt två verkstäder i Norge. Huvudkontoret är placerat i Solna. Hos oss arbetar många specialister inom underhåll av järnvägsfordon. EuroMaint har en omsättning på ca 1 900 MSEK och cirka 1 100 medarbetare, 2024. EuroMaint ägs av den börsnoterade spanska tågtillverkaren CAF sedan juli 2019.",C01:01,,Solna,"Solna strandväg 82, 171 54 Solna, Sweden",
Flygteknik Ronneby kommun,bliflygtekniker.se,"Flygtekniker Är du tekniskt intresserad så har vi utbildningarna för dig – du kan bli flygmekaniker eller flygtekniker. Flygmekaniker blir du genom vår gymnasieutbildning och flygtekniker blir du genom vår kvalificerade yrkeshögskoleutbildning. Båda utbildningarna ger möjlighet att arbeta med flygplan, helikoptrar och avancerad teknik. https://www.youtube.com/@ronnebyflygteknik600 Bli flygtekniker med världen som arbetsfält! En flygtekniker säkerställer att flygplan och helikoptrar underhålls och repareras enligt gällande internationella krav på säkerhet och kvalitet. Det är ett ansvarsfullt yrke där många måste kunna lita på att arbetet är korrekt utfört. Det är vanligt att en flygtekniker arbetsleder andra och utbildningen ger kompetens för att leda individers och gruppers utveckling i arbetet. Utbildningen genomförs i samverkan med Flygflottiljen F17 i Kallinge och ett flertal etablerade civila luftfartsorganisationer. På flottiljen i Kallinge flyger F17 med två divisioner JAS 39 Gripen och Helikopterflottiljen flyger med helikopter 14 och 15. V åra studenter får efter genomförd utbildning, med godkänt resultat, en Kvalificerad Yrkeshögskole­examen och ett EASA utbildningsintyg (Certi­ficate of Recognition) som gäller i ett 30-tal länder. Det finns därmed stora möjligheter att arbeta internationellt för den som önskar.",C01:39,,Ronneby,"Karlshamnsvägen 4, 372 80 Ronneby, Sweden",
Flygteknikcenter Ljungbyhed,klippan.se,,C01:29,,Klippan,"Box 17, 264 21 Klippan, Sweden",
Folkhögskoleförvaltningen,vgrfolkhogskolor.se,,C03:42,,Vänersborg,"Regionens Hus, 462 80 Vänersborg, Sweden",
Försvarsmakten,arenagroup.eu,,C01:42,,Stockholm,"Textilgatan 33, 120 30 Stockholm, Sweden",
Gladiator AB/Bluechip Study AB,bluechip.nu,,C05:14,,Hönö,"Västra vägen 5 2tr, 475 42 Hönö, Sweden",
Greybird Pilot Academy ApS,greybird.dk,,C05:34,,8560 Kolind,"Ny Lufthavnsvej 22, 8560 Kolind, DANMARK",
Göteborg stad Arbetsmarknad och Vuxenutbildning,goteborg.se,,D01:02,,Göteborg,"Box 5412, 402 29 Göteborg, Sweden",
Göteborgs Stad,goteborg.se,,D00:02,,Göteborg,"Intraservice, 405 38 Göteborg, Sweden",
Göteborgs universitet,gu.se,"Åtta ämnesområden - oändliga möjligheter! Studier är ett bra sätt att nå dina drömmar och mål. Hos oss kan du bli kammarmusiker, systemvetare, läkare eller lärare. Eller något helt annat - vi har 2 000 fristående kurser och 250 program som du kan välja mellan. Läs mer om våra utbildningsområden och dina möjligheter nedan och kom gärna och prata med oss i montern för att få svar på dina frågor. Ekonomi och juridik Hälsa, sjukvård och tandvård IT Konstnärliga ämnen Kultur och språk Lärarutbildning och pedagogik Naturvetenskap och matematik Samhälls- och beteendevetenskap",C01:02,,Göteborg,"PO Box 100, 405 30 Göteborg, Sweden",
Helikopterflottiljen,forsvarsmakten.se,,C01:33,,Ronneby,"PO Box 502, 372 25 Ronneby, Sweden",
Högskolan i Halmstad,hh.se,,C05:07,,Halmstad,"PO Box 823, 301 18 Halmstad, Sweden",
Högskolan i Skövde,his.se,,C03:01,,Skövde,"PO Box 408, 541 28 Skövde, Sweden",
Högskolan Väst,hv.se,,C02:30,,Trollhättan,"Gustava Melins Gata 2, 461 86 Trollhättan, Sweden",
Högskolan Väst,10times.com,,C02:40,,Trollhättan,"Gustava Melins Gata 2, 461 86 Trollhättan, Sweden",
Ihm Business School AB,ihm.se,,C05:41,,Göteborg,"PO Box 5273, 402 25 Göteborg, Sweden",
JENSEN yrkeshögskola,jensenyh.se,"JENSEN yrkeshögskola grundades utifrån insikten att många utbildningar saknar en tillräckligt stark koppling till arbetslivets verkliga behov. Arbetsmarknaden ställer höga krav – och därför behöver också utbildningen göra det. Vårt mål är att erbjuda Sveriges bästa yrkeshögskoleutbildningar, där studenter får både högkvalitativ teori och praktiska färdigheter som direkt matchar arbetslivet. Vi erbjuder utbildningar inom: - Data och IT - Fastighet - Teknik - Djurnäring - Säkerhet",C04:50,,Stockholm,"Box 11124, 100 61 Stockholm, Sweden",
Järnvägsjobb,jarnvagsjobb.se,"Många karriärvägar Visste du att det finns hundratals olika yrken inom järnvägsbranschen? Järnvägen är en av Sveriges viktigaste framtidsbranscher – och behovet av kompetens är stort. Varje år söker branschen nya medarbetare inom en rad områden, från teknik och IT till projektledning och hållbar utveckling. Järnvägen utvecklas snabbt och ligger i framkant inom digitalisering, hållbarhet och smart teknik. Med satsningar på modern IT, automatisering och AI investeras det varje år miljarder i innovation och forskning – vilket skapar nya spännande karriärmöjligheter. Oavsett din bakgrund finns det en roll där du kan göra skillnad – och bidra till ett mer hållbart och effektivt transportsystem. Vill du börja jobba direkt efter gymnasiet eller studera vidare? I järnvägsbranschen hittar du mängder av spännande jobb och utmaningar som leder raka spåret mot framtiden. Det finns något för alla! Järnvägsbranschen erbjuder en otrolig bredd av arbetsuppgifter: alltifrån att planera, optimera, utveckla, konstruera, bygga och underhålla själva järnvägen med broar och tunnlar, signalsystem och elledningar, till att köra tåg, möta resenärer ombord, övervaka trafiken, bygga och utveckla lok, serva och reparera lok och vagnar, förvalta byggnader… Listan är lång. Du väljer! Sverige växer med järnvägen Det finns stora möjligheter att utvecklas för dig inom järnvägsbranschen. Många börjar sin bana med en operativ roll och går sedan vidare till andra yrken, både till specialistroller och till chefspositioner. Ibland genom att studera vidare på högskolan och ibland genom internutbildningar. Det finns många i branschen som har gjort spännande karriärresor. Allas resor ser olika ut. Eftersom det finns så många olika yrken med varierande kompetensnivå inom järnvägsbranschen, varierar även lönerna i motsvarande grad. Men lönenivåerna är generellt bra och möjligheterna till avancemang goda, det är upp till dig.",C00:06,,Ängelholm,"Box 1262, 26224 Ängelholm, Sweden",
Jönköping University,ju.se,"Jönköping University (JU), är ett ungt lärosäte som kännetecknas av internationalisering och entreprenörsanda. Här kan du läsa allt från pedagogik, omvårdnad och socialt arbete till teknik, design, kommunikation, ekonomi, ledarskap och hållbarhet. 👉 Läs mer om våra utbildningar här Upptäck världen samtidigt som du pluggar 💜 Vi har ett nära samarbete med näringsliv och samhälle. De flesta av våra program inkluderar praktik i form av näringslivsförlagd kurs, verksamhetsförlagd utbildning eller kontakt med partnerföretag. Som student har du dessutom möjlighet att läsa på något av våra 350 partneruniversitet samt göra din praktik eller examensarbete på ett företag eller organisation utomlands. Du läser dessutom tillsammans med studenter från hela världen vilket ger dig ett internationellt perspektiv redan på campus. Vi tycker att en bra utbildning ska förbereda dig för det som kommer efter examen. Tillsammans skapar vi en hållbar framtid med kunskap och innovationer som kommer att göra skillnad. Har du inte möjlighet att träffa oss kan du alltid kontakta oss på studera@ju.se.",C03:02,,Jönköping,"Box 1026, 551 11 Jönköping, Sweden",
Karlstads Universitet,kau.se,,C02:28,,Karlstad,"Universitetsgatan 2, 651 88 Karlstad, Sweden",
"Kartotek, Kart- och Teknikutbildarna i Haninge A",kartotek.se,,C04:42,,Kista,"Isafjordsgatan 28 A, 164 40 Kista, Sweden",
Kungl.Ingenjörsvetenskapsakade Iva,iva.se,,C01:25,,Stockholm,"PO Box 5073, 102 42 Stockholm, Sweden",
Kungliga Tekniska Högskolan,kth.se,,C05:19,,Stockholm,"Brinellvägen 8, 100 44 Stockholm, Sweden",
Kungälvs kommun,kungalv.se,"Bli en del av Kungälvs kommun – din nästa karriär väntar! Vill du göra skillnad i människors liv och bidra till en hållbar framtid? Då är Kungälvs kommun platsen för dig! Här får du möjlighet att utvecklas både professionellt och personligt, samtidigt som du bidrar till ett samhälle som värdesätter gemenskap och inkludering. Kom och väx med oss! Vi söker passionerade och drivna individer som vill vara med och göra skillnad. Oavsett din bakgrund eller erfarenhet, finns det en plats för dig i vårt team. Tillsammans bygger vi ett starkare Kungälv! Besök vår hemsida för att se lediga tjänster och läs mer om oss. Ta steget mot en meningsfull karriär – vi ser fram emot att välkomna dig till Kungälvs kommun!",D00:22,,Kungälv,"Ytterbyvägen 2, 442 81 Kungälv, Sweden",
Kunskapsgruppen Sverige AB,kunskapsgruppen.se,,C04:44,,Göteborg,"Kungstorget 5, 411 17 Göteborg, Sweden",
Kustbevakningen,kustbevakningen.se,"Kustbevakningen är en civil statlig myndighet under Försvarsdepartementet. På uppdrag av riksdag och regering arbetar vi med räddningstjänst, sjöövervakning och är en del av samhällets krisberedskap i den maritima miljön. Inom Kustbevakningen arbetar drygt 1000 medarbetare som alla känner ett stort engagemang och stolthet över sitt arbete. Du kan arbeta ute i den operativa verksamheten, på våra fartyg och flygplan eller på någon av våra 21 kuststationer längs Sveriges kust och största sjöar. Som kustbevakare har du ett stimulerande och aktivt arbete med omväxlande uppgifter. Du kan specialisera dig inom ett visst område till exempel farligt gods, sjötrafik eller gränsfrågor. Det finns också utvecklingsmöjligheter så att du kan söka till att bli befälhavare, styrman, maskinist, räddningsdykare, pilot eller systemoperatör. Du kan också arbeta på något av våra kontor i Karlskrona, Stockholm, Göteborg, Malmö, Nyköping eller Härnösand. Inom Kustbevakningen finns en rad olika yrkeskategorier representerade så som analytiker, ekonomer, kommunikatörer, verksamhetscontrollers, personalvetare, säkerhetshandläggare, IT-tekniker, systemutvecklare, supporttekniker, jurister och registratorer. I takt med det ökade samarbetet inom EU får också Kustbevakningens fler internationella arbetsuppgifter. Bland annat arbetar vi under vinterhalvåren på uppdrag av Frontex, EU:s gemensamma gränsbevaknings- och kustbevakningsbyrå, i Medelhavet.",E05:01,,Karlskrona,"Box 536, 371 23 Karlskrona, Sweden",
Linköpings Universitet,liu.se,,C04:09,,Linköping,"581 83 Linköping, Sweden",
Linnéuniversitetet,lnu.se,"Sugen på att börja plugga? På Linnéuniversitetet får du mer än en utbildning – du får chansen att testa dina idéer, träffa nya människor och växa på vägen mot det du drömmer om. Hos oss kan du välja bland utbildningar inom allt från teknik, ekonomi och design till samhällsvetenskap, hälsa och kreativitet. Oavsett vad du är nyfiken på finns det möjligheter att hitta din grej.Vi finns i Växjö och Kalmar – två studentstäder där det är lätt att hitta gemenskap, engagera sig och skapa minnen för livet. Här är avståndet mellan idé och verklighet kort. Kom förbi vår monter, snacka med våra studenter och tävla om AirPods. Ställ alla dina frågor och upptäck vad Linnéuniversitetet kan bli för dig. Vi ses i montern!",C02:10,,Växjö,"351 95 Växjö, Sweden",
LO Västsverige,lo.se,"Här krossar vi jobbmyter, svarar på vanliga frågor och ger dig koll på jobbet. Krossa en jobbmyt",C00:09,,Göteborg,"Olof Palmes Plats 1, 413 30 Göteborg, Sweden",
Luleå tekniska universitet,ltu.se,"Kom till vår monter och träffa våra studenter! De berättar om sina program, om hur det är att plugga hos oss och vad man kan hitta på när föreläsningar och lektioner är över. Vi har över 100 olika program både på campus och distans att välja mellan. Oavsett vilken dröm du bär på, kan vi vara en del av din resa. Vi har utbildningar inom: Civilingenjör Högskoleingenjör Civilekonom Psykolog Rymdteknik Data och IT Design Ekonomi, organisation och företagande Energi, miljö och hållbar utveckling Gruva och metall Hälsa, vård och idrott Juridik och rättsvetenskap Lärare, undervisning och pedagogik Musik och teater Samhällsbyggande Samhällsvetenskap Teknik Klicka här för att se alla våra program Vi ser fram emot att träffa dig! 💙",C03:20,,Luleå,"Luleå tekniska universitet, 97187 Luleå, Sweden",
Lunds universitet,lu.se,"Lunds universitet grundades 1666 och rankas återkommande som ett av världens främsta lärosäten. Här finns omkring 46 000 studenter som förenas i en strävan att förstå, förklara och förbättra vår värld och människors villkor. Lund är en av landets mest attraktiva studieorter och vi har ett av Skandinaviens bredaste utbildningsutbud baserat på gränsöverskridande och ledande forskning. Universitetet har en tydlig internationell profil och har partneruniversitet i över 70 länder. Välkommen till Lund! Du kan också bli en Lundastudent!",C02:15,,Lund,"Box 188, 221 00 Lund, Sweden",
Malmö Universitet,mau.se,"På Malmö universitet kan du välja mellan 130 program och 450 kurser. Här studerar 27 667 studenter i en modern miljö, i en stor stad där allt finns på en cykelturs avstånd. Malmö universitet är ett nyskapande, öppet och globalt lärosäte som bidrar till samhällsutveckling. Det märks i våra utbildningar, vår forskning och i våra samarbeten med andra samhällsaktörer. Här kan du läsa till exempelvis sjuksköterska, lärare, speldesigner eller polis. Våra utbildningar är ofta flervetenskapliga och utvecklade i nära samarbete med företag, organisationer och myndigheter. Läs mer om våra program och kurser.",C02:26,,Malmö,"Nordenskiöldsgatan 1, 205 06 Malmö, Sweden",
Molkom Folkhögskola,etnow.com,,C01:03,,Karlstad,"Box 508, 650 05 Karlstad, Sweden",
Myndigheten för civilt försvar,mcf.se,"Myndigheten för civilt försvar utbildar brandmän och skorstensfejare Utbildning i skydd mot olyckor (SMO) ger en examen i säkerhets- och räddningsarbete. Du får kompetens att arbeta som brandman inom den kommunala räddningstjänsten. SMO består av 60 studiepoäng och veckor, vilket motsvarar tre terminer. Utbildningen genomförs på plats på Myndigheten för civilt försvars skolor i Revinge, utanför Lund och på Sandö, utanför Kramfors. Grundutbildning till skorstensfejare med inriktning på brandskydd, miljö och energi är en eftergymnasial utbildning på 20 studiepoäng. Utbildningen genomförs på distans med närträffar i vår skola i Rosersberg. Utbildningen bedrivs som schemalagda heltidsstudier på dagtid och består av teoretiska lektioner, föreläsningar och övningar där du ska delta. Efter 20 veckors studier får du skorstensfejarexamen och möjlighet att arbeta som skorstensfejare eller sotare som yrket också kallas. Bli skorstensfejare. Om Myndigheten för civilt försvar Myndigheten för civilt försvar ska säkerställa att samhället är förberett för kris, höjd beredskap och krig. Vår verksamhet bidrar till att uppfylla målet för civilt försvar och det övergripande målet för totalförsvaret samt målen för skydd mot olyckor och krisberedskap.",E03:10,,Karlstad,"651 81 Karlstad, Sweden",
Mälardalens Universitet,mdu.se,,C05:03,,Västerås,"PO Box 883, 721 23 Västerås, Sweden",
Naturbruksförvaltningen,gu.se,,C03:48,,Göteborg,"Västra Götalandsregionen, 405 83 Göteborg, Sweden",
Nordic Invasion,nordicinvasion.se,,C05:02,,Stockholm,"Olof Palmes Gata 11, 111 37 Stockholm, Sweden",
Nyckelviksskolan,nyckelviksskolan.se,,C03:28,,Lidingö,"Granvägen1, 181 32 Lidingö, Sweden",
Partille kommun,partille.se,,D01:12,,Partille,"433 82 Partille, Sweden",
Polismyndigheten,polisen.se,"Är du redo för en större uppgift? Polisen har en större och viktigare uppgift än någonsin. Därför behöver vi Sveriges bästa förmågor på vår sida. Vi behöver dig som behåller lugnet, som inte tvekar när det gäller, som orkar lite till. Vi behöver dig som vill vara en förebild, som bryr dig om den tysta i hörnet, som hör det som sägs mellan raderna. Vi behöver dig som ser mönstret, som lägger märke till den lilla detaljen, som kollar en extra gång. Vi behöver dig som inte slutar leta, som aldrig ger upp – som tillsammans med andra vill skydda, hjälpa och ställa till rätta. Att arbeta för polisen är att skapa trygghet i människors liv. Varje dag. Du kommer att utvecklas som människa och få erfarenheter för livet. Att vara polis är att finnas på plats när något händer och gå emellan när det behövs. Att skydda och hjälpa, förebygga och klara upp. Det är att hålla någon i handen och peka med hela handen. Det kräver mod, omtanke och förnuft. Som polis vet du aldrig hur nästa dag ser ut. Du kommer se delar av verkligheten som många aldrig ser och möta människor i livets mest utsatta situationer. Du kommer arbeta i glädje och sorg. Tillsammans med kollegor du aldrig glömmer. Det finns en större uppgift – sök till polisutbildningen! polisen.se/blipolis #blipolis",E03:20,,Göteborg,"Region Väst, 405 90 Göteborg, Sweden",
Räddningstjänstförbundet Storgöteborg,rsgbg.se,,,,Göteborg,"PO Box 5204, 402 24 Göteborg, Sweden",
Satsa på sjöfart/Maritima torget,transportgruppen.se,,C01:40,,Göteborg,"Box 11916, 404 39 Göteborg, Sweden",
Scandinavian Bar Academy/ Utopia Guideschool,scandinaviantravel.se,,C05:06,,Stockholm,"Olof Palmes Gata 11, 111 37 Stockholm, Sweden",
Seko sjöfolk/Maritima torget,sjofolk.se,,C01:28,,Göteborg,"Fjärde Långgatan 48, 413 27 Göteborg, Sweden",
Sjöbefälsföreningen/Maritima torget,sjobefalsforeningen.se,"Sjöbefälsföreningen är fackförbundet för befäl ombord. Vår huvuduppgift är att förhandla och teckna kollektivavtal samt tillvarata våra medlemmars intressen. Vi är också ett yrkesförbund, vars uppgift är att stärka och utveckla yrkesrollen för alla befäl ombord. Utforska din framtid på Maritima torget! Här möter du sjöfartsstuderande och yrkesverksamma från den maritima världen. Känn pulsen i den maritima världen, testa att styra ett fartyg, lyssna på inspirerande berättelser och upptäck karriärvägar du kanske inte visste fanns. Vi bjuder in till goda samtal och om du träffar tillräckligt många av oss får du en gåva! På Maritima torget blir du en del av den maritima gemenskapen som erbjuder livslånga karriärer.Vi ser fram emot att träffa dig – ses i monter C01:28!",C01:28,,Skarpnäck,"Flygfältsgatan 8 B, 128 30 Skarpnäck, Sweden",
Sjöfartsverket,sjofartsverket.se,,C01:40,,Norrköping,"601 78 Norrköping, Sweden",
Skandinaviska Naprapathögskolan AB,nph.se,,C01:15,,Stockholm,"Kräftriket 23 A, 114 19 Stockholm, Sweden",
Ski&Work,skiandwork.se,"Vem är vi på Ski&Work? Vi är ett Malmö-baserat litet familjeföretag. Vi älskar skidåkning, resor och har lång erfarenhet i turist- och resebranschen. Vi vet att jobba utomlands ger fantastisk erfarenhet, ökar språkkunskaper och smäller högt på ett CV. Att det sedan också är otroligt roligt när du får vänner från hela världen och åker skidor gör det inte sämre :) Vårt mål är att ge dig personlig service och vara ett stöd för dig före och under hela ditt säsongsäventyr på en skidort i Kanada. Kontakta Ski&Work om du vill veta mer! Så här går det till:",C05:28,,Malmö,"Jöns Filsgatan 11, 211 33 Malmö, Sweden",
Stift Domen Konstskola,domenkonstskola.se,,C03:28,,Göteborg,"Dufvas Backe 3, 413 11 Göteborg, Sweden",
Stift Stenebyskolan,steneby.se,,C03:28,,Dals Långed,"Hemslöjdsvägen 1, 666 95 Dals Långed, Sweden",
Stiftelsen Gerlesborgsskolan,gerlesborgsskolan.se,,C03:28,,Hamburgsund,"Gerlesborg 1, 457 48 Hamburgsund, Sweden",
Stiftelsen Göteborgs Studentbostäder,sgs.se,"Hitta hem i Göteborg! SGS Studentbostäder är en stiftelse som erbjuder boende för högskolestudenter i Göteborg. Med ett brett utbud av lägenheter och rum på olika platser i staden, strävar SGS efter att skapa trygga, prisvärda och funktionella boendemiljöer som underlättar studentlivet. Vår bostadskö är helt gratis och du kan enkelt ställa dig i kön från året du fyller 17 år. På så vis tryggar du din framtida bostad om du bestämmer dig för att plugga vidare här i Göteborg.",C01:05,,Göteborg,"Kaserntorget 11, 411 18 Göteborg, Sweden",
studentum,studentum.se,"studentum.se är Sveriges största söktjänst för eftergymnasiala utbildningar. Vi är en del av Keystone Education Group och vår vision är att hjälpa alla i hela världen att hitta rätt utbildning. Vi gör det lätt för våra besökare att hitta, jämföra och välja utbildning. På studentum.se finns alla möjliga slags utbildningar, allt ifrån universitet och YH till komvux och yrkesutbildning. Är du på jakt efter en utbildning som tar dig direkt ut i yrkeslivet till ett jobb där du behövs och kan få snabb anställning och bra lön? Såklart du är!",C03:40,,Stockholm,"Karlavägen 100 A, 115 26 Stockholm, Sweden",
STUDIN -Study International,studin.se,"STUDIN – STUDY INTERNATIONAL Studier på universitet & college utomlands Kostnadsfri studievägledning, information, ansökan när du skall studera utomlands STUDIN är Sveriges ledande oberoende organisation för utlandsstudier och utsedda av internationellt erkända högskolor och universitet att företräda dem. Som auktoriserad representant tillhandahåller vi information, ger studievägledning samt assisterar med ansökan till skolornas program och kurser. Representanter från bland annat följande universitet kommer finnas på plats i vår monter BIMM University ( Storbritannien, Irland, Tyskland) Santa Monica College (USA) Torrens University ( Australien)",C05:33,,Göteborg,"Storgatan 25, 411 24 Göteborg, Sweden",
Svensk Rederiservice AB,sweship.se,,C01:40,,Göteborg,"Korsgatan 20, 411 16 Göteborg, Sweden",
Svensk Rederiservice AB,sweship.se,,C01:28,,Göteborg,"Korsgatan 20, 411 16 Göteborg, Sweden",
Swiss Education Group,swisseducation.com,"Creating tomorrow's industry leaders. Swiss Education Group är en av världens ledande utbildningsgrupper inom hospitality, business och culinary arts. Våra fyra skolor i Schweiz är alla rankade bland världens Top 10 inom Hospitality & Leisure Management enligt QS World University Rankings 2026. Culinary Arts Academy Switzerland Schweiz ledande kockskola. Kandidatprogram och kortare diplomutbildningar inom Culinary Arts samt Pastry, Baking & Chocolate Arts. Swiss Hotel Management School Internationellt erkända utbildningar inom hospitality management, från kandidat till master och postgraduate, med fokus på ledarskap, innovation och framtidens hospitalitybransch. HIM Business School Businessutbildningar med fokus på management, marketing, finance och hospitality, där akademiska studier kombineras med praktisk erfarenhet och internationella möjligheter. César Ritz Colleges Switzerland Utbildningar inom hospitality business, entreprenörskap och innovation, med fokus på ledarskap och den framtida utvecklingen inom branschen, inklusive AI. Nyfiken på vilken skola och utbildning som passar dig? Gör en intresseanmälan för att få veta mer om våra utbildningar eller kom förbi vår monter på Kunskap & Framtid och träffa oss. Vi berättar gärna mer om livet som student i Schweiz, utbildningarna och dina framtida karriärmöjligheter.",C05:32,,CH 1820 Montreux,"Avenue de Florimont 11, CH 1820 Montreux, SCHWEIZ",
